Gender,Age,Marital Status,Employee Type,Shift Type,Location,Commute Distance,Vehicle type,Health Status,Department,Overtime,Weekly Working Hours,Promotion Status,English Language Level,Bonus Type,Current Skill,Employee Satisfaction,Training Type,Productivity Before,Productivity After,Training Hours,Employee performance,Years of Experience,Job Level,Education Level,Gross Income,Bonus,Insurance Status,Insurance Type,Work Position,Team Size
Male,36,Single,Full-Time,Flexible,Location_Group_1,41,Public,Poor,Department_Group_1,Yes,30,No,Advanced,Percentage,Quality-Supervisor,Low,Workshop,46,57,57,5,8,Job Level_Group_1,PhD,Very High,755,No,,Work Position_Group_1,Team Size_Group_1
Male,44,Single,Part-Time,Flexible,Location_Group_2,39,Private,Average,Department_Group_2,Yes,47,Yes,Basic,Percentage,UI-Design,Medium,,55,55,0,4,6,Job Level_Group_2,PhD,Very High,855,No,,Work Position_Group_1,Team Size_Group_2
Male,37,Single,Part-Time,Flexible,Location_Group_3,36,Public,Good,Department_Group_2,Yes,34,Yes,Intermediate,Fixed,Quality-Supervisor,Low,In-Person,36,50,99,2,8,Job Level_Group_1,PhD,Very High,3483,No,,Work Position_Group_1,Team Size_Group_3
Female,39,Single,Part-Time,Day,Location_Group_2,29,Private,Average,Department_Group_3,Yes,40,No,Advanced,Percentage,Sale,Medium,Workshop,42,58,65,1,5,Job Level_Group_2,PhD,High,1243,No,,Work Position_Group_2,Team Size_Group_4
Male,29,Single,Full-Time,Night,Location_Group_2,8,Public,Average,Department_Group_2,Yes,49,No,Advanced,Percentage,Production,Medium,,58,58,0,1,3,Job Level_Group_3,Master,Medium,1117,No,,Work Position_Group_2,Team Size_Group_4
Female,18,Single,Contract,Day,Location_Group_4,20,Public,Good,Department_Group_4,Yes,40,Yes,Basic,Fixed,UX-Design,High,In-Person,54,68,68,2,1,Job Level_Group_4,Diploma,Low,3917,No,,Work Position_Group_2,Team Size_Group_4
Female,34,Single,Contract,Day,Location_Group_3,1,Public,Poor,Department_Group_5,No,35,No,Advanced,Percentage,Finance,Low,Online,74,88,40,1,5,Job Level_Group_2,PhD,High,1266,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,36,Single,Remote,Day,Location_Group_2,45,Public,Average,Department_Group_6,Yes,33,No,Advanced,Percentage,Data-Science,High,Online,79,92,118,5,9,Job Level_Group_1,PhD,High,811,Yes,Both,Work Position_Group_1,Team Size_Group_1
Female,28,Single,Contract,Day,Location_Group_2,3,Private,Poor,Department_Group_4,Yes,27,Yes,Advanced,Fixed,Project-Management,Low,In-Person,35,46,10,3,4,Job Level_Group_3,Master,Medium,3673,No,,Work Position_Group_2,Team Size_Group_4
Female,43,Married,Remote,Night,Location_Group_1,36,Public,Good,Department_Group_6,No,31,Yes,Intermediate,Fixed,Business Strategy,Low,,32,32,0,4,7,Job Level_Group_1,PhD,Very High,1092,Yes,Life,Work Position_Group_1,Team Size_Group_5
Male,22,Married,Remote,Flexible,Location_Group_5,28,Private,Poor,Department_Group_5,No,25,No,Basic,Percentage,Sale,High,Workshop,40,55,25,4,2,Job Level_Group_4,Bachelor,Low,604,No,,Work Position_Group_2,Team Size_Group_4
Male,39,Single,Contract,Flexible,Location_Group_3,40,Private,Good,Department_Group_4,No,46,Yes,Intermediate,Percentage,Marketing,Low,In-Person,69,80,93,8,7,Job Level_Group_1,PhD,High,4080,No,,Work Position_Group_1,Team Size_Group_6
Female,39,Single,Contract,Night,Location_Group_4,33,Private,Average,Department_Group_1,No,52,No,Advanced,Percentage,Production,Medium,Workshop,75,90,20,9,6,Job Level_Group_2,PhD,Very High,1435,Yes,Health,Work Position_Group_1,Team Size_Group_2
Female,30,Single,Remote,Day,Location_Group_3,16,Private,Poor,Department_Group_3,Yes,40,No,Advanced,Fixed,Marketing,Low,Workshop,44,56,37,2,9,Job Level_Group_1,Master,Medium,1137,No,,Work Position_Group_2,Team Size_Group_4
Male,20,Married,Contract,Day,Location_Group_5,23,Private,Good,Department_Group_4,No,53,No,Basic,Percentage,Sale,Low,In-Person,73,84,27,7,1,Job Level_Group_4,Diploma,Low,972,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,38,Married,Remote,Flexible,Location_Group_1,8,Public,Good,Department_Group_4,No,56,No,Advanced,Fixed,Marketing,Medium,In-Person,65,79,74,8,6,Job Level_Group_2,PhD,High,620,No,,Work Position_Group_1,Team Size_Group_7
Female,24,Married,Contract,Flexible,Location_Group_6,26,Public,Poor,Department_Group_6,Yes,59,Yes,Intermediate,Percentage,Programming,Low,In-Person,31,44,67,8,2,Job Level_Group_4,Bachelor,Low,3085,No,,Work Position_Group_2,Team Size_Group_4
Female,34,Married,Contract,Day,Location_Group_6,4,Private,Average,Department_Group_1,No,57,No,Intermediate,Percentage,Quality-Supervisor,High,In-Person,64,82,111,8,8,Job Level_Group_1,PhD,Very High,816,No,,Work Position_Group_2,Team Size_Group_4
Male,33,Married,Remote,Night,Location_Group_7,25,Private,Good,Department_Group_6,Yes,24,Yes,Basic,Percentage,Quality-Supervisor,Low,,73,73,0,1,9,Job Level_Group_1,PhD,Very High,1003,No,,Work Position_Group_2,Team Size_Group_4
Female,32,Single,Contract,Flexible,Location_Group_1,32,Private,Poor,Department_Group_6,No,45,Yes,Basic,Fixed,UX-Design,High,In-Person,46,63,97,2,9,Job Level_Group_1,PhD,High,3009,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,22,Single,Full-Time,Flexible,Location_Group_2,37,Private,Average,Department_Group_1,No,43,Yes,Intermediate,Fixed,Artificial-Intelligence,Low,Online,75,94,35,5,2,Job Level_Group_4,Bachelor,Low,4122,Yes,Both,Work Position_Group_2,Team Size_Group_4
